Player,Date,Pitcher,Team,ISO,Pitcher_HR9,HardHit,FlyBall,ParkFactor,WindFactor,Matchup,HR_Result,BarrelRate,ExitVelocity,LaunchAngle,RecentHRRate
Freddy Fermin,2024-04-13,Sean Manaea,Kansas City Royals,0.336,0.92,28.24,23.16,1.07,0.91,0.7,0,10.0,90.0,16.0,0.1
Hunter Renfroe,2024-04-13,Sean Manaea,Kansas City Royals,0.278,1.35,47.79,43.41,1.13,0.94,0.75,0,10.0,90.0,16.0,0.1
Dairon Blanco,2024-04-13,Sean Manaea,Kansas City Royals,0.197,2.14,43.14,49.27,0.98,1.17,0.71,0,10.0,90.0,16.0,0.1
Alec Marsh,2024-04-13,Sean Manaea,Kansas City Royals,0.2,1.43,58.04,22.54,1.03,1.19,0.75,0,10.0,90.0,16.0,0.1
Angel Zerpa,2024-04-13,Sean Manaea,Kansas City Royals,0.256,1.97,58.36,38.85,1.17,1.18,0.87,0,10.0,90.0,16.0,0.1
Nick Anderson,2024-04-13,Sean Manaea,Kansas City Royals,0.329,1.72,51.84,28.67,1.06,1.04,0.83,0,10.0,90.0,16.0,0.1
Matt Sauer,2024-04-13,Sean Manaea,Kansas City Royals,0.214,1.16,47.49,40.52,1.13,1.16,0.95,0,10.0,90.0,16.0,0.1
John Schreiber,2024-04-13,Sean Manaea,Kansas City Royals,0.141,1.28,28.47,34.62,1.11,1.18,0.62,0,10.0,90.0,16.0,0.1
James McArthur,2024-04-13,Sean Manaea,Kansas City Royals,0.185,1.58,49.22,20.83,0.95,1.07,0.65,0,10.0,90.0,16.0,0.1
Brandon Nimmo,2024-04-13,Alec Marsh,New York Mets,0.158,1.15,39.7,32.53,1.03,0.91,0.9,0,10.0,90.0,16.0,0.1
Starling Marte,2024-04-13,Alec Marsh,New York Mets,0.297,1.17,44.49,44.63,1.04,1.07,0.94,1,10.0,90.0,16.0,0.1
Francisco Lindor,2024-04-13,Alec Marsh,New York Mets,0.178,1.69,58.94,27.7,1.14,0.95,0.61,0,10.0,90.0,16.0,0.1
Pete Alonso,2024-04-13,Alec Marsh,New York Mets,0.21,1.71,30.89,42.7,1.06,0.95,0.99,1,10.0,90.0,16.0,0.1
Brett Baty,2024-04-13,Alec Marsh,New York Mets,0.145,0.89,39.03,21.69,1.13,0.94,0.88,0,10.0,90.0,16.0,0.1
DJ Stewart,2024-04-13,Alec Marsh,New York Mets,0.303,1.73,39.52,44.89,1.09,1.1,0.61,0,10.0,90.0,16.0,0.1
Tyrone Taylor,2024-04-13,Alec Marsh,New York Mets,0.322,1.44,37.77,22.73,0.99,0.91,0.64,0,10.0,90.0,16.0,0.1
Jeff McNeil,2024-04-13,Alec Marsh,New York Mets,0.221,1.77,31.41,25.23,1.18,1.04,0.94,0,10.0,90.0,16.0,0.1
Omar Narváez,2024-04-13,Alec Marsh,New York Mets,0.199,0.92,53.39,20.95,1.09,1.09,0.96,0,10.0,90.0,16.0,0.1
Joey Wendle,2024-04-13,Alec Marsh,New York Mets,0.272,0.97,31.28,29.64,1.18,1.12,0.82,0,10.0,90.0,16.0,0.1
Sean Manaea,2024-04-13,Alec Marsh,New York Mets,0.209,1.68,33.39,31.85,1.08,1.07,0.77,0,10.0,90.0,16.0,0.1
Cole Sulser,2024-04-13,Alec Marsh,New York Mets,0.213,1.34,49.02,28.43,1.08,0.99,0.52,0,10.0,90.0,16.0,0.1
Jorge López,2024-04-13,Alec Marsh,New York Mets,0.156,1.07,39.48,42.26,1.02,1.17,0.65,0,10.0,90.0,16.0,0.1
Jake Diekman,2024-04-13,Alec Marsh,New York Mets,0.318,1.77,45.62,43.48,0.96,0.91,0.87,0,10.0,90.0,16.0,0.1
Tyler Jay,2024-04-13,Alec Marsh,New York Mets,0.215,1.28,44.02,24.78,1.14,1.14,0.65,0,10.0,90.0,16.0,0.1
Jonathan India,2024-04-13,Garrett Crochet,Cincinnati Reds,0.177,2.2,45.76,38.66,1.01,0.93,0.68,0,10.0,90.0,16.0,0.1
Spencer Steer,2024-04-13,Garrett Crochet,Cincinnati Reds,0.259,2.0,51.73,49.94,1.2,1.14,0.73,0,10.0,90.0,16.0,0.1
Christian Encarnacion-Strand,2024-04-13,Garrett Crochet,Cincinnati Reds,0.274,1.9,58.39,44.8,0.96,1.08,0.87,0,10.0,90.0,16.0,0.1
Jeimer Candelario,2024-04-13,Garrett Crochet,Cincinnati Reds,0.261,1.1,26.95,39.47,1.06,1.11,0.58,0,10.0,90.0,16.0,0.1
Stuart Fairchild,2024-04-13,Garrett Crochet,Cincinnati Reds,0.324,1.17,27.04,31.95,0.95,0.97,0.73,0,10.0,90.0,16.0,0.1
Elly De La Cruz,2024-04-13,Garrett Crochet,Cincinnati Reds,0.196,1.43,59.89,30.03,1.02,1.13,0.86,0,10.0,90.0,16.0,0.1
Santiago Espinal,2024-04-13,Garrett Crochet,Cincinnati Reds,0.282,1.95,43.2,47.43,1.15,1.0,0.94,0,10.0,90.0,16.0,0.1
Luke Maile,2024-04-13,Garrett Crochet,Cincinnati Reds,0.288,1.82,27.53,23.19,1.01,0.97,0.56,0,10.0,90.0,16.0,0.1
Bubba Thompson,2024-04-13,Garrett Crochet,Cincinnati Reds,0.288,1.02,58.77,34.16,1.04,1.03,0.73,0,10.0,90.0,16.0,0.1
Nick Lodolo,2024-04-13,Garrett Crochet,Cincinnati Reds,0.26,1.92,39.59,41.11,0.97,1.15,1.0,0,10.0,90.0,16.0,0.1
Fernando Cruz,2024-04-13,Garrett Crochet,Cincinnati Reds,0.126,1.13,57.92,21.76,1.02,1.08,0.69,0,10.0,90.0,16.0,0.1
Brent Suter,2024-04-13,Garrett Crochet,Cincinnati Reds,0.15,0.92,45.46,23.75,1.1,1.04,0.96,0,10.0,90.0,16.0,0.1
Robbie Grossman,2024-04-13,Nick Lodolo,Chicago White Sox,0.121,1.79,43.68,35.3,0.97,1.15,0.58,0,10.0,90.0,16.0,0.1
Andrew Vaughn,2024-04-13,Nick Lodolo,Chicago White Sox,0.179,1.39,54.57,48.1,1.16,0.96,0.91,0,10.0,90.0,16.0,0.1
Gavin Sheets,2024-04-13,Nick Lodolo,Chicago White Sox,0.237,1.84,39.79,43.57,1.2,0.91,0.71,0,10.0,90.0,16.0,0.1
Kevin Pillar,2024-04-13,Nick Lodolo,Chicago White Sox,0.299,1.49,32.07,37.75,0.96,1.13,0.92,0,10.0,90.0,16.0,0.1
Lenyn Sosa,2024-04-13,Nick Lodolo,Chicago White Sox,0.22,1.47,34.19,42.75,0.96,0.93,0.76,0,10.0,90.0,16.0,0.1
Paul DeJong,2024-04-13,Nick Lodolo,Chicago White Sox,0.178,1.39,37.81,35.93,1.18,1.07,0.66,0,10.0,90.0,16.0,0.1
Nicky Lopez,2024-04-13,Nick Lodolo,Chicago White Sox,0.237,1.14,47.33,42.18,0.96,1.19,0.52,0,10.0,90.0,16.0,0.1
Zach Remillard,2024-04-13,Nick Lodolo,Chicago White Sox,0.319,0.98,50.53,41.02,1.17,0.96,0.93,0,10.0,90.0,16.0,0.1
Braden Shewmake,2024-04-13,Nick Lodolo,Chicago White Sox,0.335,1.46,28.32,45.54,0.94,0.91,0.84,0,10.0,90.0,16.0,0.1
Dominic Fletcher,2024-04-13,Nick Lodolo,Chicago White Sox,0.126,1.52,41.73,31.34,0.92,0.92,0.66,0,10.0,90.0,16.0,0.1
Martín Maldonado,2024-04-13,Nick Lodolo,Chicago White Sox,0.229,1.59,38.95,42.74,0.97,1.09,0.88,0,10.0,90.0,16.0,0.1
Garrett Crochet,2024-04-13,Nick Lodolo,Chicago White Sox,0.208,1.03,58.51,24.11,0.92,1.08,0.7,0,10.0,90.0,16.0,0.1
Deivi García,2024-04-13,Nick Lodolo,Chicago White Sox,0.205,0.96,32.58,33.06,0.92,0.92,0.73,0,10.0,90.0,16.0,0.1
Dominic Leone,2024-04-13,Nick Lodolo,Chicago White Sox,0.157,0.83,42.16,41.6,0.96,1.11,0.64,0,10.0,90.0,16.0,0.1
Jordan Leasure,2024-04-13,Nick Lodolo,Chicago White Sox,0.292,1.85,59.0,35.88,1.06,1.14,0.76,0,10.0,90.0,16.0,0.1
Michael Kopech,2024-04-13,Nick Lodolo,Chicago White Sox,0.269,1.47,57.48,45.86,1.06,1.06,0.6,0,10.0,90.0,16.0,0.1
Charlie Blackmon,2024-04-13,Yariel Rodríguez,Colorado Rockies,0.229,2.05,44.4,29.79,1.08,0.99,0.62,0,10.0,90.0,16.0,0.1
Ezequiel Tovar,2024-04-13,Yariel Rodríguez,Colorado Rockies,0.255,1.5,51.06,24.49,1.1,0.92,0.91,0,10.0,90.0,16.0,0.1
Ryan McMahon,2024-04-13,Yariel Rodríguez,Colorado Rockies,0.283,1.64,55.9,28.42,1.01,0.99,0.78,0,10.0,90.0,16.0,0.1
Kris Bryant,2024-04-13,Yariel Rodríguez,Colorado Rockies,0.266,1.77,60.0,33.06,1.03,0.97,0.67,0,10.0,90.0,16.0,0.1
Michael Toglia,2024-04-13,Yariel Rodríguez,Colorado Rockies,0.301,1.55,26.55,48.19,1.08,1.03,0.96,0,10.0,90.0,16.0,0.1
Elias Díaz,2024-04-13,Yariel Rodríguez,Colorado Rockies,0.259,1.78,40.29,30.92,1.02,1.15,0.99,0,10.0,90.0,16.0,0.1
Nolan Jones,2024-04-13,Yariel Rodríguez,Colorado Rockies,0.305,2.11,47.44,32.29,1.04,0.98,0.55,0,10.0,90.0,16.0,0.1
Brendan Rodgers,2024-04-13,Yariel Rodríguez,Colorado Rockies,0.122,1.57,53.59,24.53,0.95,1.16,0.66,0,10.0,90.0,16.0,0.1
Elehuris Montero,2024-04-13,Yariel Rodríguez,Colorado Rockies,0.263,2.16,40.29,23.93,0.93,1.06,0.89,0,10.0,90.0,16.0,0.1
Brenton Doyle,2024-04-13,Yariel Rodríguez,Colorado Rockies,0.141,1.0,39.7,24.63,1.16,1.14,0.87,1,10.0,90.0,16.0,0.1
Dakota Hudson,2024-04-13,Yariel Rodríguez,Colorado Rockies,0.264,1.78,53.62,33.14,1.15,1.11,0.6,0,10.0,90.0,16.0,0.1
Victor Vodnik,2024-04-13,Yariel Rodríguez,Colorado Rockies,0.242,2.04,38.68,30.46,1.14,0.97,0.99,0,10.0,90.0,16.0,0.1
Jake Bird,2024-04-13,Yariel Rodríguez,Colorado Rockies,0.188,1.36,37.6,44.22,1.18,1.18,0.94,0,10.0,90.0,16.0,0.1
George Springer,2024-04-13,Dakota Hudson,Toronto Blue Jays,0.243,1.75,48.63,49.88,0.92,1.06,0.84,0,10.0,90.0,16.0,0.1
Vladimir Guerrero Jr.,2024-04-13,Dakota Hudson,Toronto Blue Jays,0.28,1.84,49.29,23.74,1.12,1.11,0.96,0,10.0,90.0,16.0,0.1
Bo Bichette,2024-04-13,Dakota Hudson,Toronto Blue Jays,0.324,2.09,50.01,33.48,1.18,1.16,0.88,0,10.0,90.0,16.0,0.1
Daniel Vogelbach,2024-04-13,Dakota Hudson,Toronto Blue Jays,0.294,0.99,27.22,20.1,0.98,1.02,0.76,0,10.0,90.0,16.0,0.1
Cavan Biggio,2024-04-13,Dakota Hudson,Toronto Blue Jays,0.216,1.65,49.09,39.25,1.09,1.15,0.89,0,10.0,90.0,16.0,0.1
Davis Schneider,2024-04-13,Dakota Hudson,Toronto Blue Jays,0.268,1.56,27.82,49.99,0.96,0.96,0.89,0,10.0,90.0,16.0,0.1
Kevin Kiermaier,2024-04-13,Dakota Hudson,Toronto Blue Jays,0.265,1.82,35.88,32.37,1.12,1.17,0.84,0,10.0,90.0,16.0,0.1
Daulton Varsho,2024-04-13,Dakota Hudson,Toronto Blue Jays,0.254,1.42,31.2,28.17,1.01,1.03,0.68,1,10.0,90.0,16.0,0.1
Isiah Kiner-Falefa,2024-04-13,Dakota Hudson,Toronto Blue Jays,0.141,1.81,49.49,27.35,1.01,1.09,0.74,0,10.0,90.0,16.0,0.1
Brian Serven,2024-04-13,Dakota Hudson,Toronto Blue Jays,0.176,2.04,44.74,43.93,0.99,0.94,0.91,0,10.0,90.0,16.0,0.1
Yariel Rodríguez,2024-04-13,Dakota Hudson,Toronto Blue Jays,0.185,1.34,36.06,44.65,1.03,1.16,0.71,0,10.0,90.0,16.0,0.1
Bowden Francis,2024-04-13,Dakota Hudson,Toronto Blue Jays,0.169,0.94,34.29,33.0,0.99,1.13,0.86,0,10.0,90.0,16.0,0.1
Tim Mayza,2024-04-13,Dakota Hudson,Toronto Blue Jays,0.213,1.53,33.9,35.93,0.92,1.09,0.96,0,10.0,90.0,16.0,0.1
Chad Green,2024-04-13,Dakota Hudson,Toronto Blue Jays,0.247,0.81,31.1,35.98,1.14,0.98,0.76,0,10.0,90.0,16.0,0.1
Yimi García,2024-04-13,Dakota Hudson,Toronto Blue Jays,0.187,1.9,26.03,46.56,1.17,1.2,0.76,0,10.0,90.0,16.0,0.1
Marcus Semien,2024-04-13,Ronel Blanco,Texas Rangers,0.178,1.6,26.16,20.05,0.93,0.95,0.97,0,10.0,90.0,16.0,0.1
Corey Seager,2024-04-13,Ronel Blanco,Texas Rangers,0.148,1.88,56.68,43.17,0.92,0.95,0.77,0,10.0,90.0,16.0,0.1
Evan Carter,2024-04-13,Ronel Blanco,Texas Rangers,0.225,1.33,30.65,45.98,1.19,1.09,0.98,0,10.0,90.0,16.0,0.1
Adolis García,2024-04-13,Ronel Blanco,Texas Rangers,0.25,0.98,58.73,32.67,1.08,0.99,0.63,0,10.0,90.0,16.0,0.1
Josh Smith,2024-04-13,Ronel Blanco,Texas Rangers,0.255,1.19,25.11,33.57,1.06,1.11,0.81,0,10.0,90.0,16.0,0.1
Wyatt Langford,2024-04-13,Ronel Blanco,Texas Rangers,0.143,2.14,48.0,41.22,1.14,0.99,0.5,0,10.0,90.0,16.0,0.1
Jonah Heim,2024-04-13,Ronel Blanco,Texas Rangers,0.247,0.92,34.87,25.46,1.16,1.08,0.59,0,10.0,90.0,16.0,0.1
Andrew Knizner,2024-04-13,Ronel Blanco,Texas Rangers,0.169,1.7,52.25,32.03,0.92,0.94,0.97,0,10.0,90.0,16.0,0.1
Jared Walsh,2024-04-13,Ronel Blanco,Texas Rangers,0.195,1.65,40.55,21.82,1.04,0.91,0.72,0,10.0,90.0,16.0,0.1
Leody Taveras,2024-04-13,Ronel Blanco,Texas Rangers,0.226,2.19,38.65,43.46,0.95,0.95,0.63,0,10.0,90.0,16.0,0.1
Andrew Heaney,2024-04-13,Ronel Blanco,Texas Rangers,0.226,1.45,35.02,36.34,1.07,0.94,0.78,0,10.0,90.0,16.0,0.1
Jacob Latz,2024-04-13,Ronel Blanco,Texas Rangers,0.277,1.97,44.18,23.75,1.06,1.11,0.78,0,10.0,90.0,16.0,0.1
José Ureña,2024-04-13,Ronel Blanco,Texas Rangers,0.314,2.18,43.23,26.64,0.95,1.07,0.56,0,10.0,90.0,16.0,0.1
Austin Pruitt,2024-04-13,Ronel Blanco,Texas Rangers,0.153,1.36,35.13,35.82,0.97,1.07,0.54,0,10.0,90.0,16.0,0.1
Jose Altuve,2024-04-13,Andrew Heaney,Houston Astros,0.205,2.07,40.25,24.77,1.02,1.1,0.72,0,10.0,90.0,16.0,0.1
Yordan Alvarez,2024-04-13,Andrew Heaney,Houston Astros,0.16,1.32,38.14,47.71,1.0,1.04,0.6,0,10.0,90.0,16.0,0.1
Kyle Tucker,2024-04-13,Andrew Heaney,Houston Astros,0.194,1.8,58.27,34.71,1.11,1.15,0.9,0,10.0,90.0,16.0,0.1
Yainer Diaz,2024-04-13,Andrew Heaney,Houston Astros,0.197,1.3,29.73,38.45,1.08,0.96,0.56,0,10.0,90.0,16.0,0.1
Jeremy Peña,2024-04-13,Andrew Heaney,Houston Astros,0.155,0.95,52.12,46.22,0.98,1.05,0.61,0,10.0,90.0,16.0,0.1
Jon Singleton,2024-04-13,Andrew Heaney,Houston Astros,0.183,1.3,50.93,43.4,1.13,1.12,0.95,0,10.0,90.0,16.0,0.1
José Abreu,2024-04-13,Andrew Heaney,Houston Astros,0.201,1.28,26.66,44.42,1.03,1.15,0.83,0,10.0,90.0,16.0,0.1
Jake Meyers,2024-04-13,Andrew Heaney,Houston Astros,0.231,0.99,41.47,38.34,1.09,1.0,0.68,0,10.0,90.0,16.0,0.1
Mauricio Dubón,2024-04-13,Andrew Heaney,Houston Astros,0.326,1.47,56.15,27.41,1.09,0.92,0.52,0,10.0,90.0,16.0,0.1
Victor Caratini,2024-04-13,Andrew Heaney,Houston Astros,0.185,1.67,52.59,37.43,1.18,1.09,0.75,0,10.0,90.0,16.0,0.1
Grae Kessinger,2024-04-13,Andrew Heaney,Houston Astros,0.32,0.95,25.82,29.71,1.04,0.92,0.51,0,10.0,90.0,16.0,0.1
Ronel Blanco,2024-04-13,Andrew Heaney,Houston Astros,0.297,1.14,55.14,20.4,0.93,0.93,0.53,0,10.0,90.0,16.0,0.1
Bryan Abreu,2024-04-13,Andrew Heaney,Houston Astros,0.138,1.26,59.23,24.58,1.18,0.91,0.81,0,10.0,90.0,16.0,0.1
Rafael Montero,2024-04-13,Andrew Heaney,Houston Astros,0.259,1.52,42.79,46.56,0.95,1.07,0.99,0,10.0,90.0,16.0,0.1
Shawn Dubin,2024-04-13,Andrew Heaney,Houston Astros,0.198,1.14,49.59,35.1,1.09,1.05,0.64,0,10.0,90.0,16.0,0.1
Oneil Cruz,2024-04-13,Spencer Turnbull,Pittsburgh Pirates,0.329,1.51,27.48,21.36,0.94,1.06,0.59,1,10.0,90.0,16.0,0.1
Bryan Reynolds,2024-04-13,Spencer Turnbull,Pittsburgh Pirates,0.34,1.71,42.54,26.26,0.92,1.01,0.94,0,10.0,90.0,16.0,0.1
Ke'Bryan Hayes,2024-04-13,Spencer Turnbull,Pittsburgh Pirates,0.301,1.03,57.9,43.61,1.08,1.18,0.9,0,10.0,90.0,16.0,0.1
Jack Suwinski,2024-04-13,Spencer Turnbull,Pittsburgh Pirates,0.142,1.47,43.69,44.77,1.05,1.19,0.66,0,10.0,90.0,16.0,0.1
Edward Olivares,2024-04-13,Spencer Turnbull,Pittsburgh Pirates,0.337,1.31,29.75,45.46,1.15,0.98,0.78,0,10.0,90.0,16.0,0.1
Rowdy Tellez,2024-04-13,Spencer Turnbull,Pittsburgh Pirates,0.268,1.73,42.11,35.98,0.91,0.92,0.68,0,10.0,90.0,16.0,0.1
Connor Joe,2024-04-13,Spencer Turnbull,Pittsburgh Pirates,0.187,1.03,51.83,43.84,1.11,1.14,0.53,0,10.0,90.0,16.0,0.1
Henry Davis,2024-04-13,Spencer Turnbull,Pittsburgh Pirates,0.21,1.44,43.56,37.13,0.97,0.94,0.69,0,10.0,90.0,16.0,0.1
Alika Williams,2024-04-13,Spencer Turnbull,Pittsburgh Pirates,0.311,1.44,28.48,34.72,1.17,1.09,0.74,0,10.0,90.0,16.0,0.1
Marco Gonzales,2024-04-13,Spencer Turnbull,Pittsburgh Pirates,0.296,1.07,27.47,27.36,1.01,1.13,0.9,0,10.0,90.0,16.0,0.1
Aroldis Chapman,2024-04-13,Spencer Turnbull,Pittsburgh Pirates,0.315,2.18,43.92,32.05,1.09,1.0,0.58,0,10.0,90.0,16.0,0.1
Colin Holderman,2024-04-13,Spencer Turnbull,Pittsburgh Pirates,0.178,1.72,41.62,22.39,1.18,0.94,0.71,0,10.0,90.0,16.0,0.1
Hunter Stratton,2024-04-13,Spencer Turnbull,Pittsburgh Pirates,0.158,0.98,59.05,39.91,1.01,1.12,0.98,0,10.0,90.0,16.0,0.1
Jose E. Hernandez,2024-04-13,Spencer Turnbull,Pittsburgh Pirates,0.271,2.15,31.89,25.81,1.15,0.92,0.55,0,10.0,90.0,16.0,0.1
Roansy Contreras,2024-04-13,Spencer Turnbull,Pittsburgh Pirates,0.306,1.72,55.59,43.48,1.15,1.18,0.89,0,10.0,90.0,16.0,0.1
Kyle Schwarber,2024-04-13,Marco Gonzales,Philadelphia Phillies,0.208,1.81,58.32,48.9,0.99,0.92,0.52,1,10.0,90.0,16.0,0.1
Whit Merrifield,2024-04-13,Marco Gonzales,Philadelphia Phillies,0.243,0.87,33.16,45.75,1.13,1.03,0.7,0,10.0,90.0,16.0,0.1
Trea Turner,2024-04-13,Marco Gonzales,Philadelphia Phillies,0.252,2.14,38.14,27.77,1.12,0.9,0.97,0,10.0,90.0,16.0,0.1
Bryce Harper,2024-04-13,Marco Gonzales,Philadelphia Phillies,0.34,2.16,49.83,35.03,0.95,0.96,0.79,0,10.0,90.0,16.0,0.1
Alec Bohm,2024-04-13,Marco Gonzales,Philadelphia Phillies,0.144,1.83,38.28,22.91,1.12,1.12,0.73,0,10.0,90.0,16.0,0.1
Nick Castellanos,2024-04-13,Marco Gonzales,Philadelphia Phillies,0.245,1.84,47.42,49.31,0.97,1.06,0.72,0,10.0,90.0,16.0,0.1
Edmundo Sosa,2024-04-13,Marco Gonzales,Philadelphia Phillies,0.27,0.95,53.43,36.14,1.04,0.94,0.51,0,10.0,90.0,16.0,0.1
Bryson Stott,2024-04-13,Marco Gonzales,Philadelphia Phillies,0.147,1.5,34.93,22.8,1.03,1.1,0.66,0,10.0,90.0,16.0,0.1
Garrett Stubbs,2024-04-13,Marco Gonzales,Philadelphia Phillies,0.12,1.92,26.97,35.0,1.16,1.0,0.99,0,10.0,90.0,16.0,0.1
Cristian Pache,2024-04-13,Marco Gonzales,Philadelphia Phillies,0.262,1.55,51.74,36.77,0.99,1.13,0.82,0,10.0,90.0,16.0,0.1
Johan Rojas,2024-04-13,Marco Gonzales,Philadelphia Phillies,0.158,1.37,31.27,30.55,0.93,1.06,0.93,0,10.0,90.0,16.0,0.1
Brandon Marsh,2024-04-13,Marco Gonzales,Philadelphia Phillies,0.336,1.85,48.36,34.38,0.9,0.95,0.71,0,10.0,90.0,16.0,0.1
Spencer Turnbull,2024-04-13,Marco Gonzales,Philadelphia Phillies,0.16,1.23,29.85,27.9,1.14,0.91,0.96,0,10.0,90.0,16.0,0.1
Matt Strahm,2024-04-13,Marco Gonzales,Philadelphia Phillies,0.128,0.81,59.63,47.59,1.04,0.92,0.58,0,10.0,90.0,16.0,0.1
Gregory Soto,2024-04-13,Marco Gonzales,Philadelphia Phillies,0.339,0.95,35.9,36.01,1.16,1.16,0.67,0,10.0,90.0,16.0,0.1
José Alvarado,2024-04-13,Marco Gonzales,Philadelphia Phillies,0.222,1.84,36.86,31.48,0.92,0.92,0.86,0,10.0,90.0,16.0,0.1
Jeff Hoffman,2024-04-13,Marco Gonzales,Philadelphia Phillies,0.306,0.9,46.74,30.14,0.91,1.01,0.88,0,10.0,90.0,16.0,0.1
Oliver Dunn,2024-04-13,Dean Kremer,Milwaukee Brewers,0.266,1.75,57.49,23.16,1.18,0.96,0.53,0,10.0,90.0,16.0,0.1
Joey Ortiz,2024-04-13,Dean Kremer,Milwaukee Brewers,0.272,0.91,51.66,49.8,1.07,1.09,0.57,0,10.0,90.0,16.0,0.1
William Contreras,2024-04-13,Dean Kremer,Milwaukee Brewers,0.152,1.84,44.84,44.21,0.93,1.17,0.95,0,10.0,90.0,16.0,0.1
Sal Frelick,2024-04-13,Dean Kremer,Milwaukee Brewers,0.122,0.98,46.47,33.91,0.96,1.04,0.81,0,10.0,90.0,16.0,0.1
Willy Adames,2024-04-13,Dean Kremer,Milwaukee Brewers,0.165,1.62,59.88,41.48,0.98,0.9,0.77,0,10.0,90.0,16.0,0.1
Jake Bauers,2024-04-13,Dean Kremer,Milwaukee Brewers,0.305,2.19,52.38,43.15,1.15,1.09,0.81,1,10.0,90.0,16.0,0.1
Rhys Hoskins,2024-04-13,Dean Kremer,Milwaukee Brewers,0.309,1.04,38.08,48.87,1.08,0.98,0.88,1,10.0,90.0,16.0,0.1
Brice Turang,2024-04-13,Dean Kremer,Milwaukee Brewers,0.314,2.07,45.15,37.6,1.07,1.04,0.66,0,10.0,90.0,16.0,0.1
Jackson Chourio,2024-04-13,Dean Kremer,Milwaukee Brewers,0.174,1.1,27.91,20.05,1.06,1.19,0.66,0,10.0,90.0,16.0,0.1
Blake Perkins,2024-04-13,Dean Kremer,Milwaukee Brewers,0.314,2.12,26.8,27.51,0.96,0.93,0.52,0,10.0,90.0,16.0,0.1
DL Hall,2024-04-13,Dean Kremer,Milwaukee Brewers,0.289,1.33,53.01,26.58,1.03,1.18,0.95,0,10.0,90.0,16.0,0.1
Elvis Peguero,2024-04-13,Dean Kremer,Milwaukee Brewers,0.268,1.38,50.46,37.44,1.08,1.02,0.78,0,10.0,90.0,16.0,0.1
Bryan Hudson,2024-04-13,Dean Kremer,Milwaukee Brewers,0.339,1.05,57.51,22.96,1.01,0.91,0.83,0,10.0,90.0,16.0,0.1
J.B. Bukauskas,2024-04-13,Dean Kremer,Milwaukee Brewers,0.169,1.18,52.01,27.37,1.12,1.08,0.98,0,10.0,90.0,16.0,0.1
Hoby Milner,2024-04-13,Dean Kremer,Milwaukee Brewers,0.28,1.31,58.68,35.33,1.18,1.15,0.85,0,10.0,90.0,16.0,0.1
Joel Payamps,2024-04-13,Dean Kremer,Milwaukee Brewers,0.246,2.07,48.21,28.74,0.96,1.18,0.86,0,10.0,90.0,16.0,0.1
Gunnar Henderson,2024-04-13,DL Hall,Baltimore Orioles,0.303,2.11,53.57,27.16,0.99,1.09,0.79,0,10.0,90.0,16.0,0.1
Adley Rutschman,2024-04-13,DL Hall,Baltimore Orioles,0.162,1.64,38.74,40.01,0.95,1.0,0.77,1,10.0,90.0,16.0,0.1
Ryan Mountcastle,2024-04-13,DL Hall,Baltimore Orioles,0.326,1.52,36.34,35.39,0.92,1.2,0.85,1,10.0,90.0,16.0,0.1
Anthony Santander,2024-04-13,DL Hall,Baltimore Orioles,0.262,1.71,52.7,41.75,0.94,1.14,0.58,0,10.0,90.0,16.0,0.1
Jordan Westburg,2024-04-13,DL Hall,Baltimore Orioles,0.268,0.96,49.6,43.99,0.92,1.16,0.91,1,10.0,90.0,16.0,0.1
Austin Hays,2024-04-13,DL Hall,Baltimore Orioles,0.232,1.56,58.8,46.46,1.0,1.14,0.68,0,10.0,90.0,16.0,0.1
Cedric Mullins,2024-04-13,DL Hall,Baltimore Orioles,0.153,0.89,25.05,20.61,1.06,0.93,0.91,0,10.0,90.0,16.0,0.1
Colton Cowser,2024-04-13,DL Hall,Baltimore Orioles,0.325,1.73,54.13,45.84,1.0,0.91,0.98,0,10.0,90.0,16.0,0.1
James McCann,2024-04-13,DL Hall,Baltimore Orioles,0.236,1.59,40.23,33.51,1.09,0.97,0.94,0,10.0,90.0,16.0,0.1
Jorge Mateo,2024-04-13,DL Hall,Baltimore Orioles,0.225,1.98,31.63,27.13,1.01,1.06,0.5,0,10.0,90.0,16.0,0.1
Dean Kremer,2024-04-13,DL Hall,Baltimore Orioles,0.143,2.01,33.38,31.15,1.01,1.07,0.94,0,10.0,90.0,16.0,0.1
Keegan Akin,2024-04-13,DL Hall,Baltimore Orioles,0.281,1.31,31.55,35.43,0.93,1.11,0.69,0,10.0,90.0,16.0,0.1
Yohan Ramírez,2024-04-13,DL Hall,Baltimore Orioles,0.143,0.93,33.1,30.48,1.12,1.07,0.93,0,10.0,90.0,16.0,0.1
Mike Baumann,2024-04-13,DL Hall,Baltimore Orioles,0.322,2.2,52.58,49.43,1.13,1.13,0.55,0,10.0,90.0,16.0,0.1
CJ Abrams,2024-04-13,Joe Boyle,Washington Nationals,0.299,1.16,45.5,29.94,1.08,0.91,0.78,0,10.0,90.0,16.0,0.1
Lane Thomas,2024-04-13,Joe Boyle,Washington Nationals,0.318,0.92,50.71,46.98,1.02,0.96,0.52,0,10.0,90.0,16.0,0.1
Jesse Winker,2024-04-13,Joe Boyle,Washington Nationals,0.207,0.84,44.61,37.91,1.2,0.99,0.93,0,10.0,90.0,16.0,0.1
