Player,Hand,ISO_vs_RHP,ISO_vs_LHP,HardHit,FlyBall,BarrelRate,ExitVelocity,LaunchAngle,RecentHRRate,Matchup
Jake McCarthy,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Geraldo Perdomo,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Alek Thomas,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
J.P. Crawford,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Julio Rodríguez,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Cal Raleigh,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Randy Arozarena,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Luke Raley,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Mitch Garver,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jorge Polanco,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Dylan Moore,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Dominic Canzone,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Trea Turner,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Alec Bohm,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Nick Castellanos,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
J.T. Realmuto,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Bryson Stott,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Brandon Marsh,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Johan Rojas,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Mookie Betts,R,0.26,0.24,47.0,42.0,14.0,92.5,18.0,0.22,0.78
Freddie Freeman,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Teoscar Hernández,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Will Smith,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Max Muncy,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Tommy Edman,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Gavin Lux,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Miguel Rojas,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Chadwick Tromp,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
P.J. Higgins,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Sal Stewart,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Dane Myers,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Rodolfo Durán,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Gavin Sheets,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Ty France,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Sung-Mun Song,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Ramón Laureano,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Drew Millas,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Andrés Chaparro,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Curtis Mead,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Nasim Nuñez,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jorbit Vivas,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Daylen Lile,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Alex Jackson,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Luke Keaschall,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Austin Martin,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Endy Rodríguez,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Henry Davis,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Spencer Horwitz,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jared Triolo,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Konnor Griffin,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jake Mangum,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Tyler Heineman,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Charles McAdoo,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Yohendrick Piñango,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Samuel Basallo,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jeremiah Jackson,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Weston Wilson,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Mickey Gasper,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Marcelo Mayer,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Austin Hedges,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Kyle Manzardo,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Travis Bazzana,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Angel Martínez,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Daniel Schneemann,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Sebastián Rivero,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Donovan Walton,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Nick Madrigal,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Hunter Feduccia,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Richie Palacios,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Oliver Dunn,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Carson Williams,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Chandler Simpson,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Joe Mack,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Liam Hicks,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Connor Norby,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Graham Pauley,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Javier Sanoja,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Otto Lopez,L,0.12,0.105,31.0,24.0,4.0,86.0,9.0,0.04,0.52
Heriberto Hernández,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Hayden Senger,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Luis Torrens,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Eric Wagaman,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jared Young,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Vidal Bruján,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Carson Kelly,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Pedro Ramírez,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Pedro Pagés,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Yohel Pozo,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
JJ Wetherholt,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
César Prieto,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
José Fermín,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Thomas Saggese,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Hao-Yu  Lee,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Gage Workman,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Zack Short,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Drew Romo,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Edgar Quero,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Luisangel Acuña,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Carter Jensen,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Nick Loftin,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Tyler Tolbert,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Isaac Collins,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Danny Jansen,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Justin Foscue,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Sam Haggerty,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jake Bauers,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
David Hamilton,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
César Salazar,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Nick Allen,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Daniel Susac,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Eric Haase,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jesus Rodriguez,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Drew Gilbert,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Harrison Bader,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Braxton Fulford,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Brett Sullivan,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Hunter Goodman,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
TJ Rumfield,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Chad Stevens,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Kyle Karros,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
J.C. Escarra,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Ben Rice,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Amed Rosario,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
José Caballero,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Nick Kurtz,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Alika Williams,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Henry Bolte,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Aramis Garcia,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Ildemaro Vargas,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Tim Tawa,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jorge Barrosa,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Ryan Waldschmidt,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jhonny Pereda,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Cole Young,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Colt Emerson,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Patrick Wisdom,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Garrett Stubbs,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Rafael Marchán,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Edmundo Sosa,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Dalton Rushing,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Alex Freeland,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Hyeseong Kim,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Alex Call,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Blake Dunn,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Miguel Andujar,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Dylan Crews,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jhostynxon Garcia,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Myles Straw,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Chase DeLauter,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Ryan Vilade,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Ben Williamson,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Kyle Stowers,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jakob Marsee,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Owen Caissie,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Carson Benge,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
A.J. Ewing,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Iván Herrera,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Nelson Velázquez,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Victor Scott II,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jahmai Jones,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jac Caglianone,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Garrett Mitchell,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Bryce Eldridge,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Troy Johnston,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Trent Grisham,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Cody Bellinger,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Colby Thomas,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Adrian Del Castillo,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jose Fernandez,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Tommy Troy,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Steward Berroa,R,0.26,0.24,47.0,42.0,14.0,92.5,18.0,0.22,0.78
Andy Pages,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
José Tena,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
James Outman,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Tyler Callihan,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
